V1,V2,V3
remark,0.784745899,-2.386736821
rob,0.52097968,-1.015117896
glance,0.627464256,-5.839731969
interrupt,0.743347416,-0.628844878
unremarkable,0.737372522,0.28559211
treatment,0.724370828,-0.778073289
visible,0.55429097,-2.234356308
miller,0.527679918,-1.243662271
never offer,0.640644034,0.023134423
shove,0.56758506,-6.480003294
not receive,0.544011931,-2.064331272
dirt,0.542214051,-0.400906709
baffle,0.58071517,0.210822641
grade,0.78696275,-0.703246142
drip,0.865308665,-1.787869564
entirely,0.670816016,-3.294061494
race,0.563950255,-3.317902778
never ever,1.389151996,-6.037863714
pathetic,1.010623965,-1.558074174
slam,0.708783506,-0.314140431
not way,0.537055598,-2.348186576
quote,0.935325895,-1.90350945
fifteen,0.949113641,-2.611267978
fr,0.728175958,-3.828490565
ck,0.839699512,-0.581002354
not understand,0.849164087,-4.364478843
choke,0.696615948,-5.465015358
whatsoever,1.272206107,-6.976138009
fryer,0.703708419,-1.146100509
FALSE,0.696817821,-5.722915737
incompetent,0.936908064,-3.825483825
error,0.620084924,-6.101184579
risk,0.938112776,-5.214284006
unappetizing,0.536583528,-2.006171526
defensive,0.504085357,-3.209004536
lesson,0.797773482,-4.312854041
shoe,0.61063678,-0.626846353
foreign,0.665192463,-4.086099253
tone,0.557724202,-1.965261853
not tell,0.607710071,-5.779612409
shower,0.612123627,-2.840833614
carpet,0.575838094,0.135105631
douse,0.637206084,-1.38529286
witness,0.831539036,-2.800354916
not charge,0.567102703,-3.168171672
apologies,0.82786866,-3.758788253
er,0.639546802,-5.998679904
mumble,0.570180403,-1.547212854
argument,0.546597671,-1.001559539
disrespectful,0.631144692,-0.201371452
ashamed,0.606729946,-1.125708866
never step,0.618534817,-1.569671642
accuse,0.764927016,-4.26144301
mcd,0.652141685,-7.237875603
bin,0.944038162,-5.865933623
communicate,0.518837698,-4.96895389
dissatisfy,0.709478098,-2.40701068
not clean,0.775399111,-6.64577137
worm,0.717486775,-0.827909577
buss,0.511149436,-4.010487335
thirty,0.778531372,0.975236906
bla,0.629499115,0.038913449
desperate,0.697493299,-2.395235812
flavourless,0.567757872,0.255205197
drivers,0.555192081,-2.231863646
not us,0.60673595,-3.020236538
nerve,0.889525571,-0.15491886
compensation,0.653573807,-3.841687548
